,Acc_superm,Acc_postof,Acc_parks_,Acc_jobs_t,Acc_hospit
0,17,5,28,36994,0
1,3,0,2,32360,0
2,4,0,1,4949,0
3,7,1,14,7278,0
4,37,4,17,39248,2
5,0,0,0,0,0
6,25,6,47,43107,0
7,22,5,35,30214,0
8,0,0,0,6225,0
9,9,2,19,69511,1
10,1,2,13,6126,0
11,19,5,28,23012,1
12,10,3,13,41113,1
13,17,3,42,33364,0
14,26,7,24,91716,2
15,12,2,9,24982,1
16,6,0,3,4568,0
17,5,1,10,7156,1
18,6,0,4,23711,0
19,3,0,3,5383,0
20,5,0,4,15608,0
21,2,1,14,8435,0
22,5,4,11,23991,1
23,12,1,13,9319,1
24,0,0,0,166,0
25,0,0,0,190,0
26,4,0,3,4023,0
27,3,0,2,9314,0
28,0,0,0,102,0
29,24,5,30,29220,2
30,11,1,14,13646,0
31,4,1,8,12180,0
32,26,5,17,76747,1
33,1,1,5,3365,0
34,0,0,0,48,0
35,4,2,9,13718,0
36,23,4,38,33243,0
37,4,2,5,8169,0
38,11,4,27,17919,0
39,2,0,0,748,0
40,0,0,1,525,0
41,1,0,3,519,0
42,2,2,30,25224,1
43,16,7,23,50759,2
44,12,3,20,32332,2
45,28,5,46,59343,1
46,2,1,2,2376,0
47,4,1,11,5371,0
48,11,6,20,50428,2
49,10,2,8,18564,1
50,8,1,15,57550,1
51,12,4,54,40445,0
52,44,5,25,135314,0
53,0,0,1,471,0
54,11,7,32,47003,1
55,5,2,11,15532,1
56,17,4,23,17183,1
57,4,2,13,6490,1
58,18,2,12,32917,1
59,12,4,32,22467,1
60,41,6,55,180254,1
61,4,1,3,3262,0
62,3,1,0,28473,0
63,21,7,31,31927,0
64,10,3,12,13680,0
65,3,2,0,31790,0
66,10,3,13,16649,0
67,7,1,8,15381,1
68,38,7,26,105893,1
69,7,2,11,22845,1
70,57,7,78,212734,3
71,9,4,19,75048,2
72,1,0,1,6105,0
73,2,0,1,6655,0
74,8,3,8,11051,0
75,14,4,30,25041,1
76,6,1,4,5866,1
77,1,0,4,1223,0
78,3,2,14,18435,0
79,61,7,48,191700,1
80,7,1,5,31883,0
81,17,5,20,47906,2
82,3,1,4,6112,0
83,0,0,2,433,0
84,1,1,5,3711,0
